sample_id,category,status,runtime_seconds,risk_level,risk_score,model_label,active_extractor_features,ml_selected_features,ml_zero_features,llm_context_schema_fields,active_context_codes,generated_case_brief,reference_brief,context_feature_recall,context_feature_precision,numeric_feature_recall,numeric_feature_precision,amount_recall,amount_precision,amount_exact_match,entity_recall,entity_precision,critical_fact_recall,contradiction_count,hallucination_count,fact_precision,amount_preservation,semantic_similarity,embedding_model,missing_critical_facts,contradicted_forbidden_facts,hallucinated_context_codes,unsupported_amounts_krw
S11,택배 사칭·피싱 링크,OK,7.363035,NORMAL,90.09272183087074,NORMAL,7,23,21,12,3,"사용자가 기기 고장 신고 후, 민감한 개인정보를 요구받고 긴급 처리 압박을 받았다.","택배사를 사칭해 배송 보류를 주장하고 30분 안에 링크에서 이름, 주소와 카드번호를 입력하라고 요구한 정황입니다.",0.6666666666666666,0.6666666666666666,0.42857142857142855,1.0,1.0,1.0,True,1.0,1.0,0.25,0,3,0.5,True,0.3223158140446973,text-embedding-3-small,택배 사칭 | 링크 클릭 요구 | 이름·주소·카드번호 요구,,CLAIM_CRIME_INVOLVEMENT | CLAIM_DEVICE_BROKEN | DEADLINE_TODAY,
S12,인증번호 단독 요구,OK,5.084067,NORMAL,66.88208885509455,NORMAL,5,23,20,12,1,"Psy Strategy와 관련된 신호가 발생했습니다. 요청된 행동은 인증 정보 요청으로, 권위적인 접근 방식을 사용했을 가능성이 있습니다.",상대방이 본인 확인 명목으로 문자 인증번호를 요구한 정황이며 실제 제공 여부는 확인되지 않았습니다.,1.0,1.0,0.0,0.0,1.0,1.0,True,1.0,1.0,1.0,0,0,1.0,True,0.30855844664073084,text-embedding-3-small,,,,
S13,이미 송금한 피해,OK,7.716242,NORMAL,90.09272183087074,NORMAL,5,23,21,12,5,"검찰을 사칭한 사건에서 300만 원의 계좌 확인이 요구되었으며, 사용자가 이체를 시도한 것으로 보입니다. 이 사건은 사기의 가능성이 높습니다.",검찰 사칭 상대가 안전계좌로 300만원을 요구했고 고객이 이미 같은 금액을 이체했다고 보고한 피해 정황입니다.,0.75,0.6,0.2857142857142857,1.0,1.0,1.0,True,1.0,1.0,0.75,0,2,0.6,False,0.6234193808906204,text-embedding-3-small,안전계좌,,CLAIM_ACCOUNT_VERIFICATION | CLAIM_CRIME_INVOLVEMENT,
S14,송금 부인·개인정보 제공,OK,7.219154,NORMAL,4.311803594523293,NORMAL,7,23,19,12,2,해당 사건은 금융기관을 사칭하며 민감한 개인정보를 요구하는 것으로 의심되는 사례입니다.,"은행 직원을 사칭한 상대가 송금을 요구했으나 고객은 송금하지 않았고, 주민등록번호와 계좌번호는 이미 제공했다고 보고했습니다.",0.25,0.5,0.5,1.0,1.0,1.0,True,0.0,0.0,0.0,0,3,0.0,True,0.41628065354557686,text-embedding-3-small,은행 직원 사칭 | 송금 요구 | 송금하지 않음 | 개인정보 제공함,,CLAIM_ACCOUNT_VERIFICATION | CLAIM_CRIME_INVOLVEMENT | REQUEST_PERSONAL_INFO,
S15,요구 거절·부인,OK,5.147541,NORMAL,68.82526978283987,NORMAL,5,23,20,12,1,이 사건은 인증되지 않은 결제 요청에 대한 신호가 탐지되었습니다. 알 수 없는 주체가 결제를 요구한 것으로 보입니다.,상대방이 OTP와 송금을 요구했으나 고객은 인증정보를 제공하지 않았고 송금도 하지 않았다고 진술했습니다.,0.0,0.0,0.0,0.0,1.0,1.0,True,1.0,1.0,0.0,0,2,0.0,True,0.5020341716102171,text-embedding-3-small,OTP 요구 | 송금 요구 | OTP 미제공 | 송금하지 않음,,CLAIM_CRIME_INVOLVEMENT | CLAIM_UNAUTHORIZED_PAYMENT,
S16,유사 표현 정상·서류 기한,OK,6.621436,NORMAL,68.82526978283987,NORMAL,5,23,20,12,2,"이번 사건은 높은 위험을 동반하는 행동 요청과 관련된 신호를 포함하고 있습니다. 요청된 행동은 오늘 마감되어야 하며, 주장은 즉각적인 마감에 대한 것입니다.",학교 행정실 이메일로 장학금 신청 서류를 오늘까지 제출하라는 정상적인 기한 안내입니다.,0.0,0.0,0.0,0.0,1.0,1.0,True,1.0,1.0,0.0,0,3,0.0,True,0.33822159784053896,text-embedding-3-small,학교 서류 제출 안내 | 다음 학기 재신청 가능,,CLAIM_CRIME_INVOLVEMENT | DEADLINE_IMMEDIATE | DEADLINE_TODAY,
S17,유사 표현 정상·사고 접수,OK,6.010005,NORMAL,68.82526978283987,NORMAL,5,23,20,12,2,사건은 범죄와 관련된 청구가 신고된 후 개인 정보를 요청하는 신호를 포함합니다.,교통사고 접수 후 병원 영수증을 공식 보험사 앱에 등록하라는 정상 안내입니다.,0.0,0.0,0.0,0.0,1.0,1.0,True,1.0,1.0,0.0,1,2,0.0,True,0.3204428751073768,text-embedding-3-small,교통사고 접수 | 공식 보험사 앱,개인정보 요구,CLAIM_CRIME_INVOLVEMENT | REQUEST_PERSONAL_INFO,
S18,유사 표현 정상·비밀 요청,OK,6.920399,NORMAL,90.09272183087074,NORMAL,7,23,21,12,2,"이 사건은 임대인 사칭 사건으로, 안전한 계좌 설정과 대출 상환을 목적으로 한 주장들이 포함되어 있습니다.",가족 생일 깜짝 파티를 위한 일상적인 비밀 요청이며 금전이나 개인정보 요구는 없습니다.,0.0,0.0,0.0,0.0,1.0,1.0,True,1.0,1.0,0.0,1,4,0.0,True,0.18595782782525003,text-embedding-3-small,가족 생일 파티 | 선물 준비,범죄 고립,CLAIM_ACCOUNT_VERIFICATION | CLAIM_CRIME_INVOLVEMENT | CLAIM_LOAN_APPROVAL | PURPOSE_LOAN_REPAYMENT,
S19,정상 견적 금액,OK,6.685267,NORMAL,68.82526978283987,NORMAL,8,23,20,12,1,"이 사건은 18만원의 금액이 언급되며, 수리 요청이 두 번 접수된 상황입니다. 두 가지 신호가 수집되었습니다.",노트북 수리비 18만원을 안내하고 매장 방문 결제를 제안한 정상 견적 안내입니다.,0.0,0.0,0.0,0.0,1.0,1.0,True,1.0,1.0,0.3333333333333333,0,2,0.0,True,0.46872672176949676,text-embedding-3-small,노트북 수리 견적 | 매장 방문 결제,,CLAIM_CRIME_INVOLVEMENT | PURPOSE_REPAIR,
S20,복수 금액·요구 금액 구분,OK,11.426861,NORMAL,20.0,NORMAL,3,23,23,12,3,"이 사건은 계좌 인증 및 이체 요청과 관련된 의심스러운 신호들이 포함되어 있습니다. 언급된 금액은 12,000,000원과 7,000,000원입니다.","계좌 잔액 1,200만원을 언급한 뒤 안전 검사 명목으로 그중 700만원을 즉시 송금하라고 요구하고 반환을 약속한 정황입니다.",0.5,0.6666666666666666,0.2,1.0,1.0,1.0,True,1.0,1.0,0.0,0,2,0.3333333333333333,True,0.5280206303902004,text-embedding-3-small,잔액 1200만원 언급 | 700만원 송금 요구 | 환급 주장 | 즉시 요구,,CLAIM_ACCOUNT_VERIFICATION | CLAIM_CRIME_INVOLVEMENT,
S21,다단계·앱 설치→OTP→송금,OK,14.947337,HIGH,99.84377949668027,PHISHING,20,23,15,12,6,이 사건은 검찰과 수사기관을 사칭하며 사용자에게 긴급한 행동을 요구하는 사기 신호가 발견되었습니다.,"금융감독원 직원을 사칭해 원격제어 앱 설치, OTP 제공, 안전계좌 250만원 이체를 단계적으로 요구하고 가족에게 알리지 못하게 한 정황입니다.",0.8,0.6666666666666666,0.2,0.2857142857142857,1.0,1.0,True,0.0,0.0,0.4,0,4,0.5,False,0.3707496042679933,text-embedding-3-small,금융감독원 사칭 | 250만원 이체 요구 | 가족에게 알리지 말라는 고립,,CLAIM_CRIME_INVOLVEMENT | CLAIM_DEVICE_BROKEN | CUSTOMER_INSTALLED_APP | ROLE_PROSECUTION,
S22,결제 취소·공식 채널 경계,OK,8.523346,HIGH,96.42376148859587,PHISHING,9,23,19,12,3,"신고된 사건은 무단 지불 청구와 관련된 사건으로, 고객이 인증 정보를 요청했으나 제공된 인증이 거부되었습니다.",42만원의 미승인 결제 신고에 대해 카드 뒷면 공식 고객센터로 직접 확인하도록 하고 인증번호나 계좌정보는 요구하지 않은 정상 안내입니다.,0.5,0.3333333333333333,0.0,0.0,1.0,1.0,True,1.0,1.0,0.3333333333333333,1,3,0.0,False,0.46659634370378705,text-embedding-3-small,42만원 미승인 결제 | 공식 고객센터 직접 확인,인증번호 요구,CLAIM_CRIME_INVOLVEMENT | CUSTOMER_PROVIDED_AUTH | REQUEST_AUTH_INFO,
S23,기기 고장·원격 수리 사칭,OK,11.562639,HIGH,99.63973408572615,PHISHING,16,23,16,12,3,"이 사건은 특정 장치의 고장이 주장된 후 설치 요청이 있었고, 긴급한 압박이 느껴지는 상황입니다.",수리센터를 사칭해 기기 고장을 주장하고 수리용 앱 설치와 잠금 비밀번호를 요구하며 사진 삭제로 압박한 정황입니다.,0.375,1.0,0.5,0.5,1.0,1.0,True,0.0,0.0,0.4,0,2,0.6,True,0.4053123157940439,text-embedding-3-small,수리센터 사칭 | 잠금 비밀번호 요구 | 사진 삭제 위협,,CLAIM_CRIME_INVOLVEMENT | CUSTOMER_INSTALLED_APP,
S24,은행 사칭·통화 유지·출금,OK,13.816924,NORMAL,35.497065365779754,NORMAL,13,23,18,12,4,"금융기관 사칭 사건으로 보이며, 개인 정보 요청과 금전 이체가 포함됨. 사용자와의 접촉을 제한하고 있다.",은행 본점 보안팀을 사칭해 횡령 사건을 주장하고 통화를 유지한 채 ATM에서 400만원을 인출하며 창구 직원에게 목적을 숨기라고 요구한 정황입니다.,0.4,0.5,0.4444444444444444,0.6666666666666666,1.0,1.0,True,1.0,1.0,0.2,0,2,0.3333333333333333,False,0.380813225974785,text-embedding-3-small,은행 사칭 | 통화 유지 | ATM 400만원 인출 | 창구 직원에게 숨기기,,REQUEST_PERSONAL_INFO | REQUEST_TRANSFER,
S25,검찰 사칭·개인정보만 요구,OK,9.424927,NORMAL,90.3537489759966,NORMAL,13,23,17,12,3,"검찰을 사칭한 사건에서, 범죄 연루 주장과 개인 정보 요청이 있었음.","검찰 수사관을 사칭해 사건 확인 명목으로 이름, 생년월일과 주소를 요구했으며 송금이나 비밀번호 요구는 부인한 정황입니다.",1.0,0.6666666666666666,0.6,0.6,1.0,1.0,True,1.0,1.0,0.6666666666666666,0,1,0.6666666666666666,True,0.5949212056587314,text-embedding-3-small,송금·비밀번호 요구 부인,,CLAIM_CRIME_INVOLVEMENT,
S26,정상 계좌 확인·영업점,OK,7.569292,NORMAL,73.71752011102664,NORMAL,5,23,20,12,2,해당 사건은 개인 정보를 요구하고 카드 상담을 요청하는 두 가지 신호가 감지되었습니다.,휴면계좌는 전화로 개인정보를 받지 않고 신분증을 지참한 영업점 방문이나 공식 앱 조회를 안내하는 정상 상담입니다.,0.0,0.0,0.0,0.0,1.0,1.0,True,1.0,1.0,0.5,1,3,0.0,True,0.4614621621330301,text-embedding-3-small,영업점 또는 공식 앱,개인정보 요구,CLAIM_CRIME_INVOLVEMENT | NORMAL_CARD_CONSULTATION | REQUEST_PERSONAL_INFO,
S27,가족 사칭·개인정보 탐색,OK,9.284896,NORMAL,90.09272183087074,NORMAL,7,23,21,12,3,가족을 사칭한 신호가 발견되었습니다. 개인 정보 요구와 관련된 요청이 있었습니다.,가족을 사칭해 휴대폰 변경을 주장하고 가족의 주민등록번호와 주소를 새 번호로 보내라고 요구한 정황입니다.,0.3333333333333333,0.3333333333333333,0.6,1.0,1.0,1.0,True,0.0,0.0,0.5,0,3,0.4,True,0.5938997439501872,text-embedding-3-small,새 휴대폰 주장 | 새 번호로 답장 요구,,CLAIM_ACCOUNT_VERIFICATION | CLAIM_CRIME_INVOLVEMENT | REQUEST_KEEP_CALL,
S28,투자 권유·긴급 송금,OK,9.60467,HIGH,97.11897941674593,PHISHING,7,23,20,12,3,"이 사건은 심리적 조작 전략이 적용된 사례로, 긴급성과 두려움을 이용하여 자금을 요청하는 상황입니다. 요청된 자금은 1천만 원입니다.","수익 보장을 내세우며 10분 안에 투자 계좌로 1,000만원을 보내라고 하고 기회 상실로 압박한 정황입니다.",0.6666666666666666,0.6666666666666666,0.2857142857142857,1.0,1.0,1.0,True,1.0,1.0,0.0,0,1,0.6666666666666666,False,0.4241230438652515,text-embedding-3-small,수익 보장 주장 | 10분 기한 | 1000만원 송금 요구 | 기회 상실 압박,,CLAIM_CRIME_INVOLVEMENT,
S29,우체국 사칭·카드 전달,OK,9.803727,NORMAL,91.60608656717703,NORMAL,13,23,18,12,4,"이 사건은 경찰을 사칭하여 계좌 확인을 요청하는 사기 의심 사건입니다. 사기자는 개인 정보를 요구하며, 고객이 일부 개인 정보를 제공하였다는 점에서 신뢰를 얻으려 시도했습니다.",우체국 직원을 사칭해 카드 반송을 주장하고 체크카드와 비밀번호를 방문 직원에게 함께 전달하라고 요구한 정황입니다.,0.0,0.0,0.6,0.5,1.0,1.0,True,0.0,0.0,0.0,0,5,0.0,True,0.4442974004980613,text-embedding-3-small,우체국 사칭 | 카드 반송 주장 | 체크카드 전달 요구 | 비밀번호 요구,,CLAIM_ACCOUNT_VERIFICATION | CLAIM_CRIME_INVOLVEMENT | CUSTOMER_PROVIDED_PERSONAL_INFO | REQUEST_PERSONAL_INFO | ROLE_POLICE,
S30,복합 피해·앱/인증/송금 완료,OK,12.214005,HIGH,99.77792262456423,PHISHING,15,23,17,12,8,"이 사건은 경찰을 사칭한 것으로 보이는 신호가 감지되었으며, 피해자가 앱 설치를 요청받고 금전을 이체하라고 요구받은 상황입니다.","경찰 사칭 상대의 지시에 따라 고객이 원격 앱을 설치하고 OTP를 제공했으며 안전계좌로 650만원을 이미 송금했고, 추가 200만원 요구와 가족 고립이 이어진 복합 피해 정황입니다.",0.6363636363636364,0.875,0.3,0.6,0.0,0.0,False,1.0,1.0,0.42857142857142855,0,1,0.875,False,0.5983151663732994,text-embedding-3-small,OTP 제공함 | 650만원 송금 완료 | 추가 200만원 요구 | 가족에게 비밀,,CLAIM_ACCOUNT_VERIFICATION,
